word,difficulty
PHONE,2
COMPUTER,2
LAPTOP,2
TABLET,2
MOUSE,2
SCREEN,2
KEYBOARD,2
PRINTER,2
CAMERA,2
ROBOT,2
EMAIL,2
INTERNET,3
WEBSITE,3
SOFTWARE,3
HARDWARE,3
DATABASE,3
NETWORK,3
SERVER,3
ROUTER,3
BROWSER,3
APPLICATION,4
PROGRAMMING,4
ALGORITHM,4
ENCRYPTION,4
BLUETOOTH,4
SMARTPHONE,4
ARTIFICIAL,4
INTELLIGENCE,5
CYBERSECURITY,5
BLOCKCHAIN,5
VIRTUAL,4
REALITY,4
APP,2
CHIP,2
CODE,2
DATA,2
FILE,2
LINK,2
WIFI,2
BYTE,2
CABLE,2
MODEM,3
PIXEL,3
CURSOR,3
MONITOR,3
SPEAKER,3
CHARGER,3
BATTERY,3
SCANNER,3
SWITCH,3
MEMORY,3
STORAGE,3
GRAPHICS,3
PASSWORD,3
USERNAME,3
DOWNLOAD,3
UPLOAD,3
WIRELESS,3
PROCESSOR,4
FIREWALL,4
STREAMING,4
ETHERNET,4
PROTOCOL,4
INTERFACE,4
BANDWIDTH,4
ANALYTICS,4
AUTOMATION,4
INNOVATION,4
SIMULATION,4
MICROCHIP,4
SEMICONDUCTOR,5
CRYPTOCURRENCY,5
NANOTECHNOLOGY,5
BUG,2
BIT,2
RAM,3
CPU,3
GPU,4
USB,3
URL,3
SSD,4
LAN,4
VPN,4
API,4
ICON,2
MENU,2
FONT,2
CACHE,3
COOKIE,3
PLUGIN,3
WIDGET,3
KERNEL,4
COMPILER,4
DEBUGGER,4
SYNTAX,3
BOOLEAN,4
INTEGER,3
VARIABLE,3
FUNCTION,3
ITERATION,4
RECURSION,5
FRAMEWORK,4
LIBRARY,3
RUNTIME,4
BACKEND,3
FRONTEND,3
QUERY,3
INDEX,3
SCHEMA,4
MIGRATION,4
DEPLOYMENT,4
CONTAINER,4
VIRTUALIZE,5
CLUSTER,4
LATENCY,4
THROUGHPUT,5
CACHING,3
CODEC,4
PIXELATE,4
RENDERING,4
RESOLUTION,4
MEGABYTE,3
GIGABYTE,3
TERABYTE,4
MAINFRAME,4
SATELLITE,4
TRANSISTOR,5
MOTHERBOARD,5
PERIPHERAL,5
MICROPROCESSOR,5
VIRTUALIZATION,5
AUTHENTICATION,5
OPTIMIZATION,5
CONFIGURATION,5
