word,difficulty
ATOM,2
CELL,2
GENE,2
HEAT,2
LIGHT,2
WAVE,2
FORCE,2
ENERGY,2
POWER,2
SPEED,2
MASS,2
TIME,2
OXYGEN,3
CARBON,3
HYDROGEN,3
NITROGEN,3
ELECTRON,3
PROTON,3
NEUTRON,3
GRAVITY,3
PHYSICS,3
BIOLOGY,3
CHEMISTRY,3
PLANET,3
GALAXY,3
VOLCANO,3
EARTHQUAKE,4
MOLECULE,4
EVOLUTION,4
RADIATION,4
TELESCOPE,4
MICROSCOPE,4
LABORATORY,4
EXPERIMENT,4
PHOTOSYNTHESIS,5
ELECTROMAGNETIC,5
THERMODYNAMICS,5
ACID,2
BASE,2
ION,2
SALT,2
ORBIT,3
COMET,3
METEOR,3
VIRUS,3
FOSSIL,3
MINERAL,3
CRYSTAL,3
NUCLEUS,3
ECLIPSE,3
MAGNET,3
CIRCUIT,3
VOLTAGE,3
CURRENT,3
ENZYME,3
PROTEIN,3
ELEMENT,3
COMPOUND,3
REACTION,3
PRESSURE,3
FRICTION,3
DENSITY,3
VELOCITY,4
ISOTOPE,4
NEBULA,4
ASTEROID,4
QUANTUM,4
PARTICLE,4
SPECTRUM,4
FREQUENCY,4
CATALYST,4
BACTERIA,4
MAGNETISM,4
RESPIRATION,4
ANTIBODY,4
ELECTRICITY,5
ACCELERATION,5
CHROMOSOME,5
MITOCHONDRIA,5
DNA,3
RNA,4
LENS,2
HEATER,2
BEAKER,3
FUNNEL,3
PIPETTE,4
FLASK,3
BUNSEN,4
FORMULA,3
THEORY,3
HYPOTHESIS,4
VARIABLE,3
DATA,2
SAMPLE,3
SOLUTION,3
MIXTURE,3
LIQUID,2
SOLID,2
GAS,2
PLASMA,4
VACUUM,3
FUSION,4
FISSION,4
INERTIA,4
MOMENTUM,4
ENTROPY,5
VISCOSITY,5
REFRACTION,4
DIFFUSION,4
OSMOSIS,4
MITOSIS,4
MEIOSIS,5
GENOME,4
ORGANISM,3
HABITAT,3
SPECIES,3
AMINO,4
LIPID,4
GLUCOSE,3
PHOTON,4
QUARK,5
NEUTRINO,5
ANTIMATTER,5
SUPERNOVA,5
PULSAR,5
BLACKHOLE,5
COSMOLOGY,5
GEOLOGY,3
ECOLOGY,3
ZOOLOGY,3
BOTANY,3
ANATOMY,3
GENETICS,4
CALCIUM,3
SODIUM,3
POTASSIUM,4
CHLORINE,3
SULFUR,3
HELIUM,2
URANIUM,4
PLUTONIUM,5
CENTRIFUGE,5
SPECTROMETER,5
