word,difficulty
CAT,1
DOG,1
BIRD,1
FISH,1
LION,1
BEAR,1
DEER,1
WOLF,1
FOX,1
PIG,1
COW,1
DUCK,1
FROG,1
SNAKE,2
TIGER,2
ZEBRA,2
HORSE,2
SHEEP,2
GOAT,2
MOUSE,2
RABBIT,2
TURTLE,2
EAGLE,2
SHARK,2
WHALE,2
DOLPHIN,3
ELEPHANT,3
GIRAFFE,3
PENGUIN,3
GORILLA,3
CHEETAH,3
LEOPARD,3
PANTHER,3
BUFFALO,3
RACCOON,3
OCTOPUS,3
JELLYFISH,4
CROCODILE,4
ALLIGATOR,4
RHINOCEROS,4
HIPPOPOTAMUS,5
OWL,1
BAT,1
ANT,1
BEE,1
HEN,1
SEAL,2
CRAB,2
SWAN,2
HARE,2
MOLE,2
TOAD,2
BISON,2
MOOSE,2
OTTER,2
KOALA,2
PANDA,2
CAMEL,2
LLAMA,2
DONKEY,2
BADGER,3
BEAVER,3
FERRET,3
IGUANA,3
JAGUAR,3
MEERKAT,3
OSTRICH,3
PELICAN,3
WALRUS,3
WOMBAT,3
FLAMINGO,3
KANGAROO,3
SCORPION,3
SQUIRREL,3
HEDGEHOG,3
REINDEER,3
STINGRAY,3
ANTELOPE,3
PORPOISE,3
MONGOOSE,4
ANACONDA,4
ORANGUTAN,4
ARMADILLO,4
PORCUPINE,4
SALAMANDER,4
WILDEBEEST,4
CHIMPANZEE,4
WOODPECKER,4
CHAMELEON,4
RATTLESNAKE,5
RAM,2
EWE,2
CUB,2
PUP,2
DOE,2
SOW,2
RAT,1
ELK,2
YAK,2
JAY,2
COD,2
EEL,2
HOG,2
KID,2
NEWT,3
LYNX,3
MINK,3
BOAR,3
HAWK,2
CROW,2
DOVE,2
WASP,3
MOTH,3
SLUG,3
CLAM,3
GECKO,3
HERON,3
ROBIN,3
STORK,3
SKUNK,3
LEMUR,3
PEACOCK,3
TURKEY,2
TROUT,3
SALMON,3
PERCH,3
PRAWN,3
CORAL,3
STARFISH,3
BUTTERFLY,3
WEASEL,4
GIBBON,4
TAPIR,4
OCELOT,4
MANATEE,4
NARWHAL,4
WALLABY,4
TARANTULA,4
CENTIPEDE,4
MILLIPEDE,4
DRAGONFLY,4
COCKROACH,4
URCHIN,4
SWORDFISH,4
SEAHORSE,4
MACKEREL,4
HALIBUT,4
PHEASANT,4
VULTURE,4
MAGPIE,4
CARIBOU,4
PANGOLIN,5
PLATYPUS,5
MANDRILL,5
AARDVARK,5
CAPYBARA,5
MARMOSET,5
CASSOWARY,5
DROMEDARY,5
BARRACUDA,5
STURGEON,5
GRASSHOPPER,5
HUMMINGBIRD,5
KOOKABURRA,5
